"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"U13 - B","HLU13B38","2021-11-06","17:00","SENECAL","LEITRIM HAWKS U13 B3 (0)","METCALFE JETS U13 B2 (12)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A15","2021-11-06","17:00","BLACKBURN","BLACKBURN STINGERS U13 A1 (2)","LEITRIM HAWKS U13 A2 (5)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B221","2021-11-06","17:30","BARRETT WEST","LEITRIM HAWKS U15 B3 (5)","GLOUCESTER CENTRE COUGARS U15 B2 (0)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B124","2021-11-06","18:00","BLACKBURN","BLACKBURN STINGERS U18 B1 (2)","ORLEANS RUSH U18 B3 (2)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A16","2021-11-06","18:00","SENECAL","ORLEANS RUSH U13 A1 (0)","LEITRIM HAWKS U13 A1 (2)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B222","2021-11-06","18:30","BARRETT WEST","LEITRIM HAWKS U15 B2 (4)","BLACKBURN STINGERS U15 B2 (2)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B123","2021-11-06","19:00","BLACKBURN","BLACKBURN STINGERS U15 B1 (3)","LEITRIM HAWKS U15 B1 (4)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A37","2021-11-06","19:30","BARRETT WEST","LEITRIM HAWKS U15 A2 (7)","ORLEANS RUSH U15 A1 (1)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A25","2021-11-06","20:00","BLACKBURN","BLACKBURN STINGERS U15 A1 (2)","METCALFE JETS U15 A1 (1)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C030","2021-11-07","09:00","RUSSELL HALF ICE 1","RUSSELL WARRIORS U9 C1","LEITRIM HAWKS U9 C1",""
"U9 - A","HLU9A020","2021-11-07","09:00","RUSSELL HALF ICE 2","LEITRIM HAWKS U9 A1","RUSSELL WARRIORS U9 A1",""
"U9 - B","HLU9B040","2021-11-07","14:00","POTVIN HALF ICE 2","BLACKBURN STINGERS U9 B2","ORLEANS RUSH U9 B1",""
"U9 - A","HLU9A016","2021-11-07","14:00","POTVIN HALF ICE 1","ORLEANS RUSH U9 A1","METCALFE JETS U9 A1",""
"U11 - C","HLU11C26","2021-11-07","14:30","MANLEY","RUSSELL WARRIORS U11 C1 (2)","ORLEANS RUSH U11 C1 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B36","2021-11-07","15:00","METCALFE","METCALFE JETS U13 B2 (1)","BLACKBURN STINGERS U13 B1 (5)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B128","2021-11-07","15:30","MANLEY","ORLEANS RUSH U11 B1 (5)","METCALFE JETS U11 B1 (3)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A10","2021-11-07","16:00","METCALFE","METCALFE JETS U11 A1 (5)","RUSSELL WARRIORS U11 A1 (5)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B129","2021-11-07","16:30","MANLEY","BLACKBURN STINGERS U11 B1 (6)","LEITRIM HAWKS U11 B1 (0)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C18","2021-11-07","17:00","EMBRUN","EMBRUN PANTHERS U13 C1 (3)","RUSSELL WARRIORS U13 C1 (3)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A17","2021-11-07","17:00","METCALFE","METCALFE JETS U13 A1 (3)","LEITRIM HAWKS U13 A1 (5)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A09","2021-11-07","17:30","MANLEY","ORLEANS RUSH U11 A1 (4)","LEITRIM HAWKS U11 A1 (0)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B240","2021-11-07","18:00","BLACKBURN","LEITRIM HAWKS U15 B2 (2)","ORLEANS RUSH U15 B2 (1)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B126","2021-11-07","18:00","METCALFE","METCALFE JETS U18 B1 (1)","LEITRIM HAWKS U18 B1 (6)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B125","2021-11-07","18:30","MANLEY","ORLEANS RUSH U18 B1 (3)","BLACKBURN STINGERS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U21","HLU21B23","2021-11-07","19:00","RJ KENNEDY","CUMBERLAND GRADS U21 B2 (7)","LEITRIM HAWKS U21 B2 (3)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A047","2021-11-07","19:00","BLACKBURN","LEITRIM HAWKS U18 A1 (0)","RUSSELL WARRIORS U18 A1 (3)","Game Results Entered & Game Sheet Received"
"U21","HLU21B22","2021-11-07","19:30","CLARENCE","CLARENCE CASTORS U21 B1 (2)","CUMBERLAND GRADS U21 B1 (3)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A023","2021-11-07","20:00","BLACKBURN","BLACKBURN STINGERS U18 A1 (4)","GLOUCESTER CENTRE COUGARS U18 A1 (2)","Game Results Entered & Game Sheet Received"
"U21","HLU21B25","2021-11-08","20:30","RJ KENNEDY","CUMBERLAND GRADS U21 B2 (2)","GLOUCESTER CENTRE COUGARS U21B (12)","Game Results Entered & Game Sheet Received"
"U21","HLU21B24","2021-11-08","21:00","BARRETT WEST","LEITRIM HAWKS U21 B1 (8)","CLARENCE CASTORS U21 B1 (5)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18229","2021-11-09","20:00","METCALFE","METCALFE JETS U18 B2 (5)","LEITRIM HAWKS U18 B4 (0)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18228","2021-11-09","20:30","BARRETT WEST","LEITRIM HAWKS U18 B2 (2)","BLACKBURN STINGERS U18 B2 (3)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A024","2021-11-09","21:00","METCALFE","METCALFE JETS U18 A1 (1)","ORLEANS RUSH U18 A1 (2)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B127","2021-11-09","21:30","BARRETT WEST","LEITRIM HAWKS U18 B3 (2)","ORLEANS RUSH U18 B1 (2)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A26","2021-11-10","18:30","BARRETT WEST","LEITRIM HAWKS U15 A2 (7)","BLACKBURN STINGERS U15 A1 (3)","Game Results Entered & Game Sheet Received"
"U21","HLU21B26","2021-11-11","20:30","SENECAL","GLOUCESTER CENTRE COUGARS U21B (4)","CLARENCE CASTORS U21 B1 (1)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A025","2021-11-11","21:00","POTVIN","GLOUCESTER CENTRE COUGARS U18 A1 (1)","RUSSELL WARRIORS U18 A1 (7)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B223","2021-11-12","18:00","ARMSTRONG","LEITRIM HAWKS U15 B3 (3)","ORLEANS RUSH U15 B2 (0)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B37","2021-11-12","18:00","METCALFE","METCALFE JETS U13 B2 (6)","LEITRIM HAWKS U13 B1 (4)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B129","2021-11-12","19:00","METCALFE","METCALFE JETS U18 B1 (2)","ORLEANS RUSH U18 B1 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A026","2021-11-12","19:00","ARMSTRONG","BLACKBURN STINGERS U18 A1 (1)","LEITRIM HAWKS U18 A2 (5)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18231","2021-11-12","19:00","POTVIN","GLOUCESTER CENTRE COUGARS U18 B1 (0)","ORLEANS RUSH U18 B2 (5)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B130","2021-11-12","20:00","SENECAL","ORLEANS RUSH U18 B3 (0)","BLACKBURN STINGERS U18 B1 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18232","2021-11-12","20:00","RUSSELL","RUSSELL WARRIORS U18 B2 (6)","METCALFE JETS U18 B2 (3)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B128","2021-11-12","20:30","BARRETT WEST","LEITRIM HAWKS U18 B1 (5)","RUSSELL WARRIORS U18 B1 (3)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A027","2021-11-12","21:00","SENECAL","ORLEANS RUSH U18 A1 (4)","RUSSELL WARRIORS U18 A1 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A028","2021-11-12","21:30","BARRETT WEST","LEITRIM HAWKS U18 A1 (5)","GLOUCESTER CENTRE COUGARS U18 A1 (1)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B042","2021-11-13","08:00","POTVIN HALF ICE 2","GLOUCESTER CENTRE COUGARS U9 B1","LEITRIM HAWKS U9 B3",""
