"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"U15 - A","HLU15A27","2021-11-19","20:30","BARRETT WEST","METCALFE JETS U15 A1 (1)","GLOUCESTER CENTRE COUGARS U15A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18235","2021-11-19","21:00","SENECAL","METCALFE JETS U18 B2 (6)","GLOUCESTER CENTRE COUGARS U18 B1 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18266","2021-11-19","21:30","BARRETT WEST","LEITRIM HAWKS U18 B2 (4)","LEITRIM HAWKS U18 B4 (1)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C029","2021-11-20","08:00","POTVIN HALF ICE 1","BLACKBURN STINGERS 9C1","GLOUCESTER CENTRE COUGARS U9C1",""
"U9 - B","HLU9B051","2021-11-20","09:00","POTVIN HALF ICE 1","BLACKBURN STINGERS U9 B1","ORLEANS RUSH U9 B2",""
"U9 - A","HLU9A015","2021-11-20","09:00","POTVIN HALF ICE 2","BLACKURN STINGERS U9 A1","LEITRIM HAWKS U9 A2",""
"U13 - B","HLU13B43","2021-11-20","11:00","RUSSELL","RUSSELL WARRIORS U13 B1 (3)","GLOUCESTER CENTRE COUGARS U13B1 (2)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B46","2021-11-20","12:00","RUSSELL","METCALFE JETS U13 B1 (4)","ORLEANS RUSH U13 B2 (3)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B050","2021-11-20","13:00","METCALFE HALF ICE 2","METCALFE JETS U9 B3","GLOUCESTER CENTRE COUGARS U9 B1",""
"U9 - B","HLU9B049","2021-11-20","13:00","METCALFE HALF ICE 1","METCALFE JETS U9 B2","RUSSELL WARRIORS U9 B1",""
"U15 - B1","HLU15B127","2021-11-20","13:00","RUSSELL","LEITRIM HAWKS U15 B1 (4)","METCALFE JETS U15 B1 (0)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C028","2021-11-20","13:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 C2","ORLEANS RUSH U9 C1",""
"U9 - B","HLU9B048","2021-11-20","13:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 B3","ORLEANS RUSH U9 B1",""
"U11 - B","HLU11B138","2021-11-20","14:00","SENECAL","ORLEANS RUSH U11 B1 (4)","METCALFE JETS U11 B2 (1)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C18","2021-11-20","14:00","METCALFE","METCALFE JETS U11 C1 (2)","ORLEANS RUSH U11 C1 (3)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C048","2021-11-20","14:30","BARRETT WEST HALF ICE 2","RUSSELL WARRIORS U9 C1","METCALFE JETS U9 C1",""
"U9 - B","HLU9B047","2021-11-20","14:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 B2","RUSSELL WARRIORS U9 B2",""
"U11 - B","HLU11B137","2021-11-20","15:00","METCALFE","METCALFE JETS U11 B1 (1)","GLOUCESTER CENTRE COUGARS U11 B2 (7)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C23","2021-11-20","15:30","BARRETT WEST","LEITRIM HAWKS U13 C1 (0)","RUSSELL WARRIORS U13 C1 (10)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C17","2021-11-20","16:00","BLACKBURN","BLACKBURN STINGERS U11 C1 (3)","RUSSELL WARRIORS U11 C1 (6)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B236","2021-11-20","16:00","SENECAL","LEITRIM HAWKS U15 B2 (5)","GLOUCESTER CENTRE COUGARS U15 B2 (3)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A14","2021-11-20","16:00","METCALFE","METCALFE JETS U11 A1 (3)","ORLEANS RUSH U11 A1 (4)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B57","2021-11-20","16:30","BARRETT WEST","LEITRIM HAWKS U13 B2 (0)","ORLEANS RUSH U13 B1 (7)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A21","2021-11-20","17:00","BLACKBURN","BLACKBURN STINGERS U13 A1 (4)","LEITRIM HAWKS U13 A1 (1)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18223","2021-11-20","17:00","SENECAL","LEITRIM HAWKS U18 B2 (0)","RUSSELL WARRIORS U18 B2 (2)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A26","2021-11-20","17:30","BARRETT WEST","METCALFE JETS U13 A1 (3)","LEITRIM HAWKS U13 A2 (3)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A045","2021-11-20","18:30","BARRETT WEST","LEITRIM HAWKS U18 A2 (6)","GLOUCESTER CENTRE COUGARS U18 A1 (1)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18248","2021-11-20","19:00","BLACKBURN","LEITRIM HAWKS U18 B4 (4)","ORLEANS RUSH U18 B2 (4)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A30","2021-11-20","19:30","BARRETT WEST","LEITRIM HAWKS U15 A1 (3)","METCALFE JETS U15 A1 (2)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C023","2021-11-21","09:00","RUSSELL HALF ICE 2","RUSSELL WARRIORS U9 C1","GLOUCESTER CENTRE COUGARS U9C1",""
"U9 - C","HLU9C020","2021-11-21","09:00","BLACKBURN 1 HALF","LEITRIM HAWKS U9 C1","BLACKBURN STINGERS 9C1",""
"U9 - B","HLU9B079","2021-11-21","09:00","SENECAL HALF ICE 1","BLACKBURN STINGERS U9 B1","ORLEANS RUSH U9 B1",""
"U9 - A","HLU9A023","2021-11-21","09:00","RUSSELL HALF ICE 1","RUSSELL WARRIORS U9 A1","ORLEANS RUSH U9 A1",""
"U11 - B","HLU11B139","2021-11-21","11:00","BLACKBURN","BLACKBURN STINGERS U11 B1 (10)","LEITRIM HAWKS U11 B2 (2)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B054","2021-11-21","11:30","BARRETT WEST HALF ICE 2","METCALFE JETS U9 B1","METCALFE JETS U9 B2",""
"U9 - B","HLU9B053","2021-11-21","11:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 B2","LEITRIM HAWKS U9 B1",""
"U11 - C","HLU11C19","2021-11-21","12:30","BARRETT WEST","LEITRIM HAWKS U11 C1 (1)","METCALFE JETS U11 C1 (3)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A22","2021-11-21","13:30","BARRETT WEST","LEITRIM HAWKS U13 A2 (1)","LEITRIM HAWKS U13 A1 (4)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B055","2021-11-21","14:00","POTVIN HALF ICE 1","BLACKBURN STINGERS U9 B2","METCALFE JETS U9 B3",""
"U9 - A","HLU9A022","2021-11-21","14:00","POTVIN HALF ICE 2","BLACKURN STINGERS U9 A1","METCALFE JETS U9 A1",""
"U11 - B","HLU11B140","2021-11-21","14:30","MANLEY","ORLEANS RUSH U11 B2 (6)","ORLEANS RUSH U11 B1 (2)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A15","2021-11-21","14:30","BARRETT WEST","LEITRIM HAWKS U11 A1 (5)","RUSSELL WARRIORS U11 A1 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B51","2021-11-21","15:00","METCALFE","ORLEANS RUSH U13 B2 (5)","LEITRIM HAWKS U13 B1 (1)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C24","2021-11-21","15:30","BARRETT WEST","LEITRIM HAWKS U13 C1 (0)","EMBRUN PANTHERS U13 C1 (10)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18272","2021-11-21","15:30","MANLEY","RUSSELL WARRIORS U18 B2 (1)","LEITRIM HAWKS U18 B2 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B53","2021-11-21","16:00","METCALFE","BLACKBURN STINGERS U13 B1 (8)","RUSSELL WARRIORS U13 B2 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18240","2021-11-21","16:30","MANLEY","ORLEANS RUSH U18 B2 (2)","LEITRIM HAWKS U18 B4 (1)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A45","2021-11-21","17:30","MANLEY","RUSSELL WARRIORS U15 A1 (2)","GLOUCESTER CENTRE COUGARS U15A1 (3)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A036","2021-11-21","18:30","MANLEY","ORLEANS RUSH U18 A1 (0)","LEITRIM HAWKS U18 A2 (1)","Game Results Entered & Game Sheet Received"
"U21","HLU21B32","2021-11-21","19:00","RJ KENNEDY","CUMBERLAND GRADS U21 B1 (1)","RUSSELL WARRIORS U21 B1 (9)","Game Results Entered & Game Sheet Received"
"U21","HLU21B31","2021-11-21","20:30","METCALFE","METCALFE JETS U21 B1 (4)","GLOUCESTER CENTRE COUGARS U21B (2)","Game Results Entered & Game Sheet Received"
"U21","HLU21B33","2021-11-22","20:30","RJ KENNEDY","CUMBERLAND GRADS U21 B2 (4)","METCALFE JETS U21 B1 (7)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A037","2021-11-23","19:30","RUSSELL","RUSSELL WARRIORS U18 A1 (2)","BLACKBURN STINGERS U18 A1 (5)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18242","2021-11-23","20:00","METCALFE","METCALFE JETS U18 B3 (4)","METCALFE JETS U18 B2 (5)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B139","2021-11-23","20:30","BARRETT WEST","LEITRIM HAWKS U18 B1 (0)","LEITRIM HAWKS U18 B5 (1)","Game Results Entered & Game Sheet Received"
"U21","HLU21B34","2021-11-23","20:30","RUSSELL","RUSSELL WARRIORS U21 B1 (3)","GLOUCESTER CENTRE COUGARS U21B (7)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A038","2021-11-23","21:00","METCALFE","METCALFE JETS U18 A1 (0)","LEITRIM HAWKS U18 A1 (4)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B231","2021-11-24","18:30","BARRETT WEST","LEITRIM HAWKS U15 B2 (0)","ORLEANS RUSH U15 B3 (2)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B130","2021-11-24","19:30","BARRETT WEST","LEITRIM HAWKS U15 B4 (3)","ORLEANS RUSH U15 B1 (1)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18221","2021-11-24","20:30","BARRETT WEST","METCALFE JETS U18 B2 (1)","LEITRIM HAWKS U18 B2 (5)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A039","2021-11-24","21:30","BARRETT WEST","LEITRIM HAWKS U18 A2 (4)","ORLEANS RUSH U18 A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B140","2021-11-25","20:30","BARRETT WEST","LEITRIM HAWKS U18 B5 (6)","METCALFE JETS U18 B1 (0)","Game Results Entered & Game Sheet Received"
"U21","HLU21B35","2021-11-25","20:30","METCALFE","METCALFE JETS U21 B1 (10)","CLARENCE CASTORS U21 B1 (3)","Game Results Entered & Game Sheet Received"
"U21","HLU21B36","2021-11-25","20:30","SENECAL","GLOUCESTER CENTRE COUGARS U21B (3)","RUSSELL WARRIORS U21 B1 (4)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B141","2021-11-26","18:00","METCALFE","METCALFE JETS U11 B2 (4)","LEITRIM HAWKS U11 B1 (0)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B162","2021-11-26","19:00","RUSSELL","RUSSELL WARRIORS U18 B1 (1)","LEITRIM HAWKS U18 B1 (3)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18245","2021-11-26","19:00","METCALFE","METCALFE JETS U18 B3 (2)","GLOUCESTER CENTRE COUGARS U18 B1 (1)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18265","2021-11-26","20:00","RUSSELL","RUSSELL WARRIORS U18 B2 (1)","METCALFE JETS U18 B2 (0)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B142","2021-11-26","20:00","SENECAL","ORLEANS RUSH U18 B1 (3)","METCALFE JETS U18 B1 (3)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18244","2021-11-26","20:30","BARRETT WEST","LEITRIM HAWKS U18 B4 (4)","LEITRIM HAWKS U18 B2 (4)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B141","2021-11-26","21:00","POTVIN","BLACKBURN STINGERS U18 B1 (4)","LEITRIM HAWKS U18 B5 (1)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A040","2021-11-26","21:00","SENECAL","ORLEANS RUSH U18 A1 (1)","BLACKBURN STINGERS U18 A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A041","2021-11-26","21:30","BARRETT WEST","LEITRIM HAWKS U18 A1 (5)","METCALFE JETS U18 A1 (0)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C20","2021-11-27","09:00","RUSSELL","RUSSELL WARRIORS U11 C1 (13)","LEITRIM HAWKS U11 C1 (0)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A16","2021-11-27","10:00","RUSSELL","RUSSELL WARRIORS U11 A1 (5)","METCALFE JETS U11 A1 (4)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A034","2021-11-27","12:00","RUSSELL","ORLEANS RUSH U18 A1 (4)","LEITRIM HAWKS U18 A1 (1)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B058","2021-11-27","13:00","METCALFE HALF ICE 2","METCALFE JETS U9 B2","METCALFE JETS U9 B3",""
"U9 - A","HLU9A025","2021-11-27","13:00","METCALFE HALF ICE 1","METCALFE JETS U9 A1","ORLEANS RUSH U9 A1",""
"U9 - C","HLU9C031","2021-11-27","13:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 C1","GLOUCESTER CENTRE COUGARS U9C1",""
"U9 - A","HLU9A024","2021-11-27","13:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 A1","BLACKURN STINGERS U9 A1",""
"U9 - C","HLU9C033","2021-11-27","14:00","SENECAL HALF ICE 2","ORLEANS RUSH U9 C1","METCALFE JETS U9 C1",""
"U9 - C","HLU9C032","2021-11-27","14:00","METCALFE HALF ICE 2","METCALFE JETS U9 C2","LEITRIM HAWKS U9 C2",""
"U9 - B","HLU9B059","2021-11-27","14:00","SENECAL HALF ICE 1","GLOUCESTER CENTRE COUGARS U9 B1","BLACKBURN STINGERS U9 B1",""
"U9 - A","HLU9A026","2021-11-27","14:00","METCALFE HALF ICE 1","LEITRIM HAWKS U9 A2","RUSSELL WARRIORS U9 A1",""
"U9 - B","HLU9B057","2021-11-27","14:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 B1","METCALFE JETS U9 B1",""
"U9 - B","HLU9B056","2021-11-27","14:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 B3","RUSSELL WARRIORS U9 B2",""
"U9 - B","HLU9B061","2021-11-27","15:00","SENECAL HALF ICE 2","BLACKBURN STINGERS U9 B2","LEITRIM HAWKS U9 B4",""
"U9 - B","HLU9B060","2021-11-27","15:00","SENECAL HALF ICE 1","ORLEANS RUSH U9 B1","LEITRIM HAWKS U9 B2",""
"U13 - B","HLU13B49","2021-11-27","15:00","METCALFE","METCALFE JETS U13 B2 (7)","GLOUCESTER CENTRE COUGARS U13B1 (3)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B232","2021-11-27","15:00","ARMSTRONG","GLOUCESTER CENTRE COUGARS U15 B2 (2)","LEITRIM HAWKS U15 B3 (2)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B136","2021-11-27","15:30","BARRETT WEST","LEITRIM HAWKS U11 B1 (1)","ORLEANS RUSH U11 B1 (11)","Game Results Entered & Awaiting Game Sheet"
"U11 - B","HLU11B152","2021-11-27","16:00","BLACKBURN","ORLEANS RUSH U11 B2 (7)","METCALFE JETS U11 B2 (0)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B133","2021-11-27","16:00","METCALFE","METCALFE JETS U15 B1 (2)","BLACKBURN STINGERS U15 B1 (1)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C25","2021-11-27","16:00","SENECAL","ORLEANS RUSH U13 C1 (4)","METCALFE JETS U13 C1 (0)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B144","2021-11-27","17:00","BLACKBURN","LEITRIM HAWKS U11 B2 (1)","GLOUCESTER CENTRE COUGARS U11 B1 (12)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B50","2021-11-27","17:00","SENECAL","ORLEANS RUSH U13 B1 (1)","GLOUCESTER CENTRE COUGARS U13B2 (3)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C14","2021-11-27","17:30","EMBRUN","EMBRUN PANTHERS U13 C1 (0)","BLACKBURN STINGERS U13 C1 (7)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B238","2021-11-27","17:30","BARRETT WEST","ORLEANS RUSH U15 B2 (1)","ORLEANS RUSH U15 B3 (3)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B44","2021-11-27","18:00","SENECAL","RUSSELL WARRIORS U13 B2 (3)","LEITRIM HAWKS U13 B3 (0)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18247","2021-11-27","18:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U18 B1 (2)","BLACKBURN STINGERS U18 B2 (6)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B131","2021-11-27","18:30","BARRETT WEST","LEITRIM HAWKS U15 B4 (3)","LEITRIM HAWKS U15 B1 (2)","Game Results Entered & Game Sheet Received"
"U11 - C","HLU11C27","2021-11-27","19:00","BLACKBURN","BLACKBURN STINGERS U11 C1 (4)","ORLEANS RUSH U11 C1 (1)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A49","2021-11-27","19:30","BARRETT WEST","ORLEANS RUSH U15 A1 (3)","LEITRIM HAWKS U15 A2 (3)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B233","2021-11-27","20:00","BLACKBURN","BLACKBURN STINGERS U15 B2 (3)","LEITRIM HAWKS U15 B2 (2)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B132","2021-11-27","21:00","BLACKBURN","ORLEANS RUSH U15 B1 (5)","RUSSELL WARRIORS U15 B1 (2)","Game Results Entered & Game Sheet Received"
"U9 - C","HLU9C034","2021-11-28","09:00","RUSSELL HALF ICE 1","RUSSELL WARRIORS U9 C1","BLACKBURN STINGERS 9C1",""
"U9 - B","HLU9B063","2021-11-28","09:00","RUSSELL HALF ICE 2","RUSSELL WARRIORS U9 B1","ORLEANS RUSH U9 B2",""
"U11 - B","HLU11B146","2021-11-28","11:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U11 B1 (2)","BLACKBURN STINGERS U11 B1 (3)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B062","2021-11-28","11:30","BARRETT WEST HALF ICE 1","METCALFE JETS U9 B2","BLACKBURN STINGERS U9 B1",""
"U9 - A","HLU9A028","2021-11-28","11:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 A2","METCALFE JETS U9 A1",""
"U11 - B","HLU11B147","2021-11-28","12:00","BLACKBURN","GLOUCESTER CENTRE COUGARS U11 B2 (1)","ORLEANS RUSH U11 B2 (7)","Game Results Entered & Game Sheet Received"
"U9 - A","HLU9A029","2021-11-28","12:30","BARRETT WEST HALF ICE 2","BLACKURN STINGERS U9 A1","ORLEANS RUSH U9 A1",""
"U9 - A","HLU9A027","2021-11-28","12:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 A1","RUSSELL WARRIORS U9 A1",""
"U11 - C","HLU11C21","2021-11-28","13:30","BARRETT WEST","LEITRIM HAWKS U11 C1 (0)","RUSSELL WARRIORS U11 C1 (18)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B47","2021-11-28","14:00","POTVIN","METCALFE JETS U13 B2 (9)","LEITRIM HAWKS U13 B2 (1)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B145","2021-11-28","14:30","BARRETT WEST","LEITRIM HAWKS U11 B2 (0)","ORLEANS RUSH U11 B1 (5)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B134","2021-11-28","15:00","SENECAL","GLOUCESTER CENTRE COUGARS U15B1 (7)","ORLEANS RUSH U15 B1 (3)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C27","2021-11-28","15:00","METCALFE","METCALFE JETS U13 C1 (2)","EMBRUN PANTHERS U13 C1 (4)","Game Results Entered & Game Sheet Received"
"U11 - A","HLU11A22","2021-11-28","15:30","BARRETT WEST","RUSSELL WARRIORS U11 A1 (1)","ORLEANS RUSH U11 A1 (7)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B54","2021-11-28","15:30","MANLEY","ORLEANS RUSH U13 B1 (2)","ORLEANS RUSH U13 B2 (2)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B225","2021-11-28","16:00","SENECAL","GLOUCESTER CENTRE COUGARS U15 B2 (0)","BLACKBURN STINGERS U15 B2 (1)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A35","2021-11-28","16:00","METCALFE","METCALFE JETS U15 A1 (2)","BLACKBURN STINGERS U15 A1 (0)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B144","2021-11-28","16:30","MANLEY","ORLEANS RUSH U18 B3 (1)","LEITRIM HAWKS U18 B3 (2)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B234","2021-11-28","17:00","METCALFE","METCALFE JETS U15 B2 (5)","ORLEANS RUSH U15 B2 (2)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A36","2021-11-28","17:00","SENECAL","ORLEANS RUSH U15 A1 (6)","RUSSELL WARRIORS U15 A1 (4)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B145","2021-11-28","17:30","MANLEY","ORLEANS RUSH U18 B1 (1)","LEITRIM HAWKS U18 B1 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18239","2021-11-28","18:30","MANLEY","LEITRIM HAWKS U18 B4 (3)","GLOUCESTER CENTRE COUGARS U18 B1 (3)","Game Results Entered & Game Sheet Received"
"U21","HLU21B38","2021-11-28","19:00","RJ KENNEDY","CUMBERLAND GRADS U21 B2 (4)","CUMBERLAND GRADS U21 B1 (8)","Game Results Entered & Game Sheet Received"
"U21","HLU21B37","2021-11-28","19:30","CLARENCE","CLARENCE CASTORS U21 B1 (1)","LEITRIM HAWKS U21 B1 (6)","Game Results Entered & Game Sheet Received"
"U15 - B2","HLU15B229","2021-11-29","19:00","BLACKBURN","BLACKBURN STINGERS U15 B2 (1)","METCALFE JETS U15 B2 (1)","Game Results Entered & Game Sheet Received"
"U21","HLU21B39","2021-11-29","21:00","BARRETT WEST","LEITRIM HAWKS U21 B1 (11)","LEITRIM HAWKS U21 B2 (2)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B147","2021-11-30","19:15","FRIEL2","ORLEANS RUSH U18 B1 (5)","ORLEANS RUSH U18 B3 (2)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A042","2021-11-30","19:30","RUSSELL","RUSSELL WARRIORS U18 A1 (2)","LEITRIM HAWKS U18 A2 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18263","2021-11-30","20:00","METCALFE","BLACKBURN STINGERS U18 B2 (3)","GLOUCESTER CENTRE COUGARS U18 B1 (3)","Game Results Entered & Game Sheet Received"
"U18 - A","HLU18A043","2021-11-30","20:15","FRIEL2","ORLEANS RUSH U18 A1 (0)","METCALFE JETS U18 A1 (2)","Game Results Entered & Game Sheet Received"
"U21","HLU21B40","2021-11-30","20:30","RUSSELL","RUSSELL WARRIORS U21 B1 (2)","METCALFE JETS U21 B1 (6)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B136","2021-11-30","20:30","BARRETT WEST","BLACKBURN STINGERS U18 B1 (3)","LEITRIM HAWKS U18 B3 (2)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B148","2021-11-30","21:00","METCALFE","METCALFE JETS U18 B1 (1)","RUSSELL WARRIORS U18 B1 (4)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18249","2021-11-30","21:30","BARRETT WEST","LEITRIM HAWKS U18 B2 (1)","RUSSELL WARRIORS U18 B2 (2)","Game Results Entered & Game Sheet Received"
"U11 - B","HLU11B148","2021-12-01","18:30","BARRETT WEST","LEITRIM HAWKS U11 B2 (1)","GLOUCESTER CENTRE COUGARS U11 B2 (10)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B55","2021-12-03","18:00","METCALFE","METCALFE JETS U13 B1 (1)","METCALFE JETS U13 B2 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18251","2021-12-03","19:00","METCALFE","METCALFE JETS U18 B2 (3)","LEITRIM HAWKS U18 B4 (2)","Game Results Entered & Game Sheet Received"
"U18 - B2","HLU18252","2021-12-03","20:00","SENECAL","ORLEANS RUSH U18 B2 (5)","GLOUCESTER CENTRE COUGARS U18 B1 (0)","Game Results Entered & Game Sheet Received"
"U15 - A","HLU15A42","2021-12-03","20:30","BARRETT WEST","GLOUCESTER CENTRE COUGARS U15A1 (1)","LEITRIM HAWKS U15 A1 (4)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B150","2021-12-03","21:00","SENECAL","ORLEANS RUSH U18 B3 (5)","LEITRIM HAWKS U18 B5 (0)","Game Results Entered & Game Sheet Received"
"U18 - B1","HLU18B149","2021-12-03","21:30","BARRETT WEST","LEITRIM HAWKS U18 B3 (3)","BLACKBURN STINGERS U18 B1 (0)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C28","2021-12-04","10:00","RUSSELL","RUSSELL WARRIORS U13 C1 (6)","ORLEANS RUSH U13 C1 (3)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B136","2021-12-04","11:00","RUSSELL","RUSSELL WARRIORS U15 B1 (1)","LEITRIM HAWKS U15 B4 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B64","2021-12-04","12:00","RUSSELL","METCALFE JETS U13 B2 (4)","RUSSELL WARRIORS U13 B2 (2)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B066","2021-12-04","13:00","METCALFE HALF ICE 2","METCALFE JETS U9 B1","ORLEANS RUSH U9 B1",""
"U9 - B","HLU9B065","2021-12-04","13:00","METCALFE HALF ICE 1","METCALFE JETS U9 B3","LEITRIM HAWKS U9 B1",""
"U9 - A","HLU9A030","2021-12-04","13:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 A1","LEITRIM HAWKS U9 A2",""
"U9 - B","HLU9B064","2021-12-04","13:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 B4","RUSSELL WARRIORS U9 B1",""
"U9 - C","HLU9C035","2021-12-04","14:00","METCALFE HALF ICE 1","METCALFE JETS U9 C1","LEITRIM HAWKS U9 C1",""
"U9 - B","HLU9B069","2021-12-04","14:00","SENECAL HALF ICE 2","BLACKBURN STINGERS U9 B1","LEITRIM HAWKS U9 B3",""
"U9 - A","HLU9A031","2021-12-04","14:00","SENECAL HALF ICE 1","ORLEANS RUSH U9 A1","BLACKURN STINGERS U9 A1",""
"U9 - B","HLU9B067","2021-12-04","14:00","METCALFE HALF ICE 2","METCALFE JETS U9 B2","LEITRIM HAWKS U9 B2",""
"U13 - C","HLU13C34","2021-12-04","14:30","BARRETT WEST","LEITRIM HAWKS U13 C1 (0)","METCALFE JETS U13 C1 (4)","Game Results Entered & Game Sheet Received"
