"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"Midget B2","HLMB228","2020-02-06","20:00","BARRETT EAST","LETRMHAWKS6 (2)","ORLEANS4 (2)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB138","2020-02-06","20:30","RAY FRIEL 3","ORLEANS3 (3)","METCAFJETS4 (0)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB137","2020-02-06","21:00","BARRETT EAST","LETRMHAWKS5 (4)","LETRMHAWKS2 (1)","Game Results Entered & Game Sheet Received"
"PeeWee A","HLPWA64","2020-02-07","19:00","POTVIN","ORLEANS1 (3)","LETRMHAWKS1 (4)","Game Results Entered & Game Sheet Received"
"PeeWee B2","HLPWB209","2020-02-07","19:00","SENECAL","METCAFJETS3 (1)","LETRMHAWKS3 (3)","Game Results Entered & Game Sheet Received"
"Bantam B1","HLBTB119","2020-02-07","19:30","BARRETT WEST","LETRMHAWKS1 (2)","LETRMHAWKS5 (5)","Game Results Entered & Game Sheet Received"
"Bantam B1","HLBTB120","2020-02-07","20:00","SENECAL","ORLEANS1 (2)","LETRMHAWKS3 (1)","Game Results Entered & Game Sheet Received"
"Bantam B1","HLBTB108","2020-02-07","20:00","BARRETT EAST","LETRMHAWKS2 (2)","ORLEANS2 (0)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA101","2020-02-07","20:00","ARMSTRONG","BBSTINGERS1 (1)","METCAFJETS1 (2)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA102","2020-02-07","20:00","POTVIN","GCTCOUGARS1 (2)","LETRMHAWKS3 (1)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA75","2020-02-07","20:30","BARRETT WEST","LETRMHAWKS1 (3)","METCAFJETS1 (0)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA74","2020-02-07","21:00","BARRETT EAST","LETRMHAWKS2 (3)","RSWARRIORS1 (1)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB139","2020-02-07","21:00","ARMSTRONG","GCTCOUGARS2 (1)","BBSTINGERS1 (4)","Game Results Entered & Game Sheet Received"
"Atom B1","HLATB119","2020-02-08","09:00","RUSSELL","RSWARRIORS1 (0)","ORLEANS1 (7)","Game Results Entered & Game Sheet Received"
"Novice A","HLNA81","2020-02-08","10:00","METCALFE 2 HALF","ORLEANS1","METCAFJETS1",""
"Novice B","HLNB156","2020-02-08","10:00","METCALFE 1 HALF","METCAFJETS3","METCAFJETS2",""
"Novice A","HLNA78","2020-02-08","11:00","METCALFE 2 HALF","RSWARRIORS1","LETRMHAWKS1",""
"Atom C","HLATC52","2020-02-08","12:00","METCALFE","ORLEANS1 (1)","METCAFJETS1 (6)","Game Results Entered & Game Sheet Received"
"Atom B2","HLATB217","2020-02-08","13:00","METCALFE","METCAFJETS2 (3)","LETRMHAWKS2 (2)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB158","2020-02-08","13:00","POTVIN 2 HALF","GCTCOUGARS1","METCAFJETS4",""
"Novice C","HLNC83","2020-02-08","13:00","POTVIN 1 HALF","ORLEANS1","LETRMHAWKS1",""
"Novice B","HLNB153","2020-02-08","13:30","BARRETT WEST 1 HALF","LETRMHAWKS1","METCAFJETS1",""
"Novice C","HLNC81","2020-02-08","13:30","BARRETT WEST 2 HALF","LETRMHAWKS2","LETRMHAWKS3",""
"Atom A","HLATA32","2020-02-08","14:00","METCALFE","METCAFJETS1 (1)","BBSTINGERS1 (8)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB159","2020-02-08","14:00","POTVIN 2 HALF","ORLEANS1","RSWARRIORS3",""
"Novice C","HLNC84","2020-02-08","14:00","POTVIN 1 HALF","GCTCOUGARS1","METCAFJETS3",""
"Atom B1","HLATB117","2020-02-08","14:00","BARRETT EAST","LETRMHAWKS1 (2)","BBSTINGERS1 (3)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB154","2020-02-08","14:30","BARRETT WEST 1 HALF","LETRMHAWKS3","RSWARRIORS1",""
"Novice B","HLNB155","2020-02-08","14:30","BARRETT WEST 2 HALF","LETRMHAWKS4","ORLEANS3",""
"Atom C","HLATC54","2020-02-08","15:00","BARRETT EAST","LETRMHAWKS1 (1)","RSWARRIORS1 (3)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB157","2020-02-08","15:00","POTVIN 1 HALF","ORLEANS2","METCAFJETS5",""
"Novice B","HLNB160","2020-02-08","15:00","POTVIN 2 HALF","BBSTINGERS2","LETRMHAWKS2",""
"PeeWee A","HLPWA52","2020-02-08","15:30","BARRETT WEST","LETRMHAWKS1 (1)","LETRMHAWKS2 (1)","Game Results Entered & Game Sheet Received"
"Atom B2","HLATB215","2020-02-08","16:00","BARRETT EAST","METCAFJETS1 (1)","GCTCOUGARS2 (2)","Game Results Entered & Game Sheet Received"
"Novice A","HLNA74","2020-02-08","16:00","POTVIN 1 HALF","GCTCOUGARS1","LETRMHAWKS2",""
"Novice A","HLNA75","2020-02-08","16:00","POTVIN 2 HALF","ORLEANS2","BBSTINGERS1",""
"PeeWee B1","HLPWB134","2020-02-08","17:00","BARRETT EAST","LETRMHAWKS4 (9)","LETRMHAWKS1 (3)","Game Results Entered & Game Sheet Received"
"PeeWee B2","HLPWB227","2020-02-08","17:30","BARRETT WEST","RSWARRIORS1 (1)","ORLEANS1 (4)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA92","2020-02-08","18:00","POTVIN","LETRMHAWKS3 (2)","ORLEANS1 (3)","Game Results Entered & Game Sheet Received"
"PeeWee B2","HLPWB214","2020-02-08","18:00","BARRETT EAST","LETRMHAWKS3 (2)","METCAFJETS1 (1)","Game Results Entered & Game Sheet Received"
"Atom B1","HLATB118","2020-02-08","18:00","BLACKBURN","BBSTINGERS2 (7)","ORLEANS2 (2)","Game Results Entered & Game Sheet Received"
"PeeWee B1","HLPWB118","2020-02-08","18:00","SENECAL","ORLEANS2 (1)","METCAFJETS2 (4)","Game Results Entered & Game Sheet Received"
"Bantam B2","HLBTB216","2020-02-08","18:30","BARRETT WEST","GCTCOUGARS1 (0)","METCAFJETS3 (5)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB229","2020-02-08","19:00","BARRETT EAST","LETRMHAWKS4 (1)","BBSTINGERS2 (1)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA47","2020-02-08","19:00","SENECAL","METCAFJETS1 (4)","LETRMHAWKS1 (2)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB233","2020-02-08","19:00","BLACKBURN","ORLEANS1 (1)","METCAFJETS3 (2)","Game Results Entered & Game Sheet Received"
"Bantam B2","HLBTB217","2020-02-08","19:30","BARRETT WEST","METCAFJETS2 (2)","LETRMHAWKS4 (0)","Game Results Entered & Game Sheet Received"
"Bantam B1","HLBTB121","2020-02-08","20:00","SENECAL","ORLEANS2 (2)","LETRMHAWKS3 (0)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB142","2020-02-08","20:00","BLACKBURN","ORLEANS2 (3)","LETRMHAWKS2 (0)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB140","2020-02-08","20:00","BARRETT EAST","METCAFJETS1 (3)","METCAFJETS2 (3)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB141","2020-02-08","20:30","BARRETT WEST","LETRMHAWKS5 (0)","GCTCOUGARS2 (1)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB169","2020-02-09","09:00","RUSSELL 2 HALF","ORLEANS1","LETRMHAWKS5",""
"Novice C","HLNC25","2020-02-09","09:00","SENECAL","GCTCOUGARS1","ORLEANS1",""
"Atom B1","HLATB121","2020-02-09","10:00","BLACKBURN","BBSTINGERS2 (1)","BBSTINGERS1 (2)","Game Results Entered & Game Sheet Received"
"Atom C","HLATC57","2020-02-09","10:00","SENECAL","ORLEANS1 (1)","LETRMHAWKS1 (0)","Game Results Entered & Game Sheet Received"
"Novice A","HLNA73","2020-02-09","10:00","RUSSELL 1 HALF","METCAFJETS2","LETRMHAWKS1",""
"Novice B","HLNB163","2020-02-09","10:00","RUSSELL 2 HALF","RSWARRIORS2","ORLEANS2",""
"Atom A","HLATA33","2020-02-09","11:00","SENECAL","ORLEANS1 (2)","LETRMHAWKS1 (2)","Game Results Entered & Game Sheet Received"
"Atom B1","HLATB122","2020-02-09","11:00","BLACKBURN","ORLEANS2 (2)","RSWARRIORS1 (3)","Game Results Entered & Game Sheet Received"
"PeeWee B1","HLPWB120","2020-02-09","12:00","SENECAL","BBSTINGERS2 (3)","LETRMHAWKS4 (5)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB218","2020-02-09","12:30","BARRETT WEST 1 HALF","LETRMHAWKS2","RSWARRIORS1",""
"Novice C","HLNC104","2020-02-09","13:30","BARRETT WEST 2 HALF","LETRMHAWKS3","LETRMHAWKS2",""
"Bantam B1","HLBTB124","2020-02-09","14:30","BARRETT WEST","LETRMHAWKS3 (3)","ORLEANS2 (2)","Game Results Entered & Game Sheet Received"
"Novice C","HLNC85","2020-02-09","15:00","METCALFE 1 HALF","METCAFJETS3","RSWARRIORS1",""
"Novice C","HLNC86","2020-02-09","15:00","METCALFE 2 HALF","METCAFJETS2","LETRMHAWKS1",""
"Bantam B1","HLBTB122","2020-02-09","15:00","ARMSTRONG","BBSTINGERS1 (1)","ORLEANS1 (1)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA79","2020-02-09","15:30","BARRETT WEST","LETRMHAWKS3 (5)","RSWARRIORS1 (2)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA77","2020-02-09","16:00","ARMSTRONG","ORLEANS1 (1)","LETRMHAWKS1 (0)","Game Results Entered & Game Sheet Received"
"PeeWee B2","HLPWB216","2020-02-09","16:00","RUSSELL","RSWARRIORS1 (2)","LETRMHAWKS3 (6)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB161","2020-02-09","16:00","METCALFE 1 HALF","METCAFJETS2","BBSTINGERS2",""
"Atom B1","HLATB120","2020-02-09","16:30","MANLEY","LETRMHAWKS1 (1)","RSWARRIORS2 (0)","Game Results Entered & Game Sheet Received"
"PeeWee A","HLPWA59","2020-02-09","17:00","RUSSELL","METCAFJETS1 (2)","LETRMHAWKS2 (0)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBA78","2020-02-09","17:00","ARMSTRONG","BBSTINGERS1 (3)","LETRMHAWKS2 (1)","Game Results Entered & Game Sheet Received"
"Bantam B1","HLBTB123","2020-02-09","17:00","BARRETT EAST","LETRMHAWKS2 (5)","LETRMHAWKS1 (2)","Game Results Entered & Game Sheet Received"
"PeeWee B1","HLPWB119","2020-02-09","18:00","METCALFE","METCAFJETS2 (3)","LETRMHAWKS1 (2)","Game Results Entered & Game Sheet Received"
"Bantam B1","HLBTB125","2020-02-09","19:00","METCALFE","METCAFJETS1 (2)","LETRMHAWKS5 (2)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB164","2020-02-09","20:00","METCALFE","METCAFJETS4 (3)","GCTCOUGARS2 (3)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB232","2020-02-10","20:00","BLACKBURN","ORLEANS4 (0)","RSWARRIORS1 (2)","Game Results Entered & Game Sheet Received"
"Midget B1","HLMB143","2020-02-10","20:00","BARRETT EAST","LETRMHAWKS5 (2)","LETRMHAWKS2 (1)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB231","2020-02-10","20:30","BARRETT WEST","LETRMHAWKS4 (4)","LETRMHAWKS6 (4)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB230","2020-02-10","21:00","BLACKBURN","ORLEANS1 (3)","GCTCOUGARS1 (3)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA103","2020-02-10","21:00","BARRETT EAST","LETRMHAWKS1 (2)","LETRMHAWKS2 (4)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA104","2020-02-10","21:30","BARRETT WEST","LETRMHAWKS3 (3)","METCAFJETS1 (2)","Game Results Entered & Game Sheet Received"
"Midget B2","HLMB234","2020-02-11","19:30","RUSSELL","RSWARRIORS1 (0)","LETRMHAWKS4 (4)","Game Results Entered & Game Sheet Received"
"Midget A","HLMA105","2020-02-11","20:00","METCALFE","METCAFJETS1 (3)","ORLEANS2 (1)","Game Results Entered & Game Sheet Received"
